Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species,Filename
6,Spectrogram 1,1,77.20833276,77.36206407,0,9120,podocnemis_expansa,240706_0258
7,Spectrogram 1,1,77.80959046,78.16081601,0,13056,podocnemis_expansa,240706_0258
8,Spectrogram 1,1,78.87262783,79.04094678,0,9984,podocnemis_expansa,240706_0258
9,Spectrogram 1,1,152.516648,152.8600187,0,11040,podocnemis_expansa,240706_0258
13,Spectrogram 1,1,206.4008781,206.9462977,0,9588.235,podocnemis_expansa,240706_0258
10,Spectrogram 1,1,207.2256244,207.6464218,0,8544,podocnemis_expansa,240706_0258
11,Spectrogram 1,1,260.1297418,260.3272361,0,10560,podocnemis_expansa,240706_0258
12,Spectrogram 1,1,288.4142679,288.7217305,0,8736,podocnemis_expansa,240706_0258
7,Spectrogram 1,1,25.60737703,25.77830079,0,6601.399,podocnemis_expansa,240706_0259
1,Spectrogram 1,1,26.47310989,26.71590962,0,7647.1,podocnemis_expansa,240706_0259
2,Spectrogram 1,1,28.91429531,29.04442327,0,9411.8,podocnemis_expansa,240706_0259
3,Spectrogram 1,1,91.91082495,92.06634373,0,16000,podocnemis_expansa,240706_0259
8,Spectrogram 1,1,140.6574498,140.8533399,0,3972.028,podocnemis_expansa,240706_0259
4,Spectrogram 1,1,140.9647695,141.2758071,0,12352.9,podocnemis_expansa,240706_0259
5,Spectrogram 1,1,162.0782018,162.2178513,0,11764.7,podocnemis_expansa,240706_0259
9,Spectrogram 1,1,162.4457028,162.6627184,0,8000,podocnemis_expansa,240706_0259
6,Spectrogram 1,1,164.1322534,164.3210977,0,9058.8,podocnemis_expansa,240706_0259
3,Spectrogram 1,1,6.057386965,6.48949759,0,9855.319,podocnemis_expansa,240706_0260
4,Spectrogram 1,1,10.1192894,11.01615901,0,9906.383,podocnemis_expansa,240706_0260
1,Spectrogram 1,1,19.32591928,19.69397672,0,9267.3,podocnemis_expansa,240706_0260
2,Spectrogram 1,1,235.9037773,236.1394238,0,4039.6,podocnemis_expansa,240706_0260
1,Spectrogram 1,1,3.852784831,3.999783384,0,6730.2,podocnemis_expansa,240706_0261
2,Spectrogram 1,1,225.6605908,226.0095721,0,10085.393,podocnemis_expansa,240706_0261
1,Spectrogram 1,1,3.148088358,3.460039486,0,10580.6,podocnemis_expansa,240706_0262
2,Spectrogram 1,1,3.500436035,3.794433141,0,9032.3,podocnemis_expansa,240706_0262
3,Spectrogram 1,1,106.8421446,107.0239291,0,8516.1,podocnemis_expansa,240706_0262
1,Spectrogram 1,1,14.28526099,14.45823596,0,11417.5,podocnemis_expansa,240706_0263
2,Spectrogram 1,1,14.63597171,14.92320537,0,14679.6,podocnemis_expansa,240706_0263
3,Spectrogram 1,1,41.13659831,41.41589734,0,11767,podocnemis_expansa,240706_0263
4,Spectrogram 1,1,41.43494046,41.7205872,0,11417.5,podocnemis_expansa,240706_0263
5,Spectrogram 1,1,110.2650534,110.7395444,0,8271.8,podocnemis_expansa,240706_0263
6,Spectrogram 1,1,202.6472045,202.8027233,0,7106.8,podocnemis_expansa,240706_0263
1,Spectrogram 1,1,63.1413778,63.47463233,0,9014.6,podocnemis_expansa,240706_0264
1,Spectrogram 1,1,15.95580016,16.18077854,0,6360,podocnemis_expansa,240706_0265
1,Spectrogram 1,1,150.8437424,151.2162884,0,7536.2,podocnemis_expansa,240706_0266
2,Spectrogram 1,1,170.7101063,171.053477,0,8231.9,podocnemis_expansa,240706_0266
3,Spectrogram 1,1,219.5486274,219.8067164,0,10898.6,podocnemis_expansa,240706_0266
4,Spectrogram 1,1,221.2299159,221.4924935,115.9,12637.7,podocnemis_expansa,240706_0266
5,Spectrogram 1,1,250.0025151,250.3077335,0,5797.1,podocnemis_expansa,240706_0266
6,Spectrogram 1,1,289.5617612,289.8108733,0,10434.8,podocnemis_expansa,240706_0266
7,Spectrogram 1,1,290.0577411,290.2372813,0,11014.5,podocnemis_expansa,240706_0266
8,Spectrogram 1,1,298.4402286,298.7072947,0,8695.7,podocnemis_expansa,240706_0266
9,Spectrogram 1,1,299.0910619,299.2840676,0,8463.8,podocnemis_expansa,240706_0266
1,Spectrogram 1,1,0.5363764,0.727137881,0,6000,podocnemis_expansa,240706_0267
2,Spectrogram 1,1,36.28815041,36.95918197,0,11318.2,podocnemis_expansa,240706_0267
3,Spectrogram 1,1,138.568745,138.8515209,0,13090.9,podocnemis_expansa,240706_0267
4,Spectrogram 1,1,261.1028546,261.372165,0,11045.5,podocnemis_expansa,240706_0267
5,Spectrogram 1,1,261.8928316,262.2810873,0,14181.8,podocnemis_expansa,240706_0267
6,Spectrogram 1,1,285.8786232,286.4329536,0,10636.4,podocnemis_expansa,240706_0267
7,Spectrogram 1,1,286.6394249,286.9311777,0,10772.7,podocnemis_expansa,240706_0267
8,Spectrogram 1,1,293.3434069,293.6800448,0,13090.9,podocnemis_expansa,240706_0267
1,Spectrogram 1,1,113.3993096,113.6237348,0,7572.8,podocnemis_expansa,240706_0268
2,Spectrogram 1,1,114.620183,114.8894934,0,10019.4,podocnemis_expansa,240706_0268
3,Spectrogram 1,1,174.6244023,174.9161552,0,16310.7,podocnemis_expansa,240706_0268
4,Spectrogram 1,1,175.4525316,175.9395344,0,8504.9,podocnemis_expansa,240706_0268
5,Spectrogram 1,1,176.9934814,177.2425935,0,9320.4,podocnemis_expansa,240706_0268
6,Spectrogram 1,1,234.289899,234.5434995,0,5359.2,podocnemis_expansa,240706_0268
7,Spectrogram 1,1,291.4339648,291.8873038,0,10368.9,podocnemis_expansa,240706_0268
8,Spectrogram 1,1,291.9411659,292.3832837,0,9553.4,podocnemis_expansa,240706_0268
9,Spectrogram 1,1,292.6806781,293.1833907,0,9436.9,podocnemis_expansa,240706_0268
10,Spectrogram 1,1,294.3403339,294.6051557,0,8038.8,podocnemis_expansa,240706_0268
11,Spectrogram 1,1,294.7548644,295.0309075,0,15844.7,podocnemis_expansa,240706_0268
12,Spectrogram 1,1,295.05335,295.3114391,0,14446.6,podocnemis_expansa,240706_0268
13,Spectrogram 1,1,295.6054362,295.8410827,0,8155.3,podocnemis_expansa,240706_0268
2,Spectrogram 1,1,2.103109955,2.300604194,0,11051.2,podocnemis_expansa,240706_0269
3,Spectrogram 1,1,3.216015386,3.581828579,0,7590.7,podocnemis_expansa,240706_0269
4,Spectrogram 1,1,49.77845506,50.49437168,0,6027.9,podocnemis_expansa,240706_0269
5,Spectrogram 1,1,136.6465026,136.9001032,0,10381.4,podocnemis_expansa,240706_0269
6,Spectrogram 1,1,205.8669005,206.1721188,0,8818.6,podocnemis_expansa,240706_0269
7,Spectrogram 1,1,243.7072445,243.9271812,0,10269.8,podocnemis_expansa,240706_0269
8,Spectrogram 1,1,285.9885916,286.161399,0,7925.6,podocnemis_expansa,240706_0269
1,Spectrogram 1,1,225.4718551,225.7349625,0,14954.2,podocnemis_expansa,240706_0270
2,Spectrogram 1,1,225.736883,226.084492,0,9202.6,podocnemis_expansa,240706_0270
3,Spectrogram 1,1,228.518896,228.8511411,0,13490.2,podocnemis_expansa,240706_0270
1,Spectrogram 1,1,88.5500908,88.95531455,0,23515.2,podocnemis_expansa,240706_0271
2,Spectrogram 1,1,107.5402568,107.8686609,0,11697,podocnemis_expansa,240706_0271
2,Spectrogram 1,1,72.74511416,73.02758705,0,3590.6,podocnemis_expansa,240707_0388
14,Spectrogram 1,1,1.496272173,1.784314232,0,6357.29,podocnemis_expansa,240707_0390
1,Spectrogram 1,1,27.2853354,27.63095032,0,7318.4,podocnemis_expansa,240707_0390
2,Spectrogram 1,1,27.84191007,28.06409109,0,6780.3,podocnemis_expansa,240707_0390
3,Spectrogram 1,1,28.14488419,28.42317153,0,5596.4,podocnemis_expansa,240707_0390
15,Spectrogram 1,1,28.82296081,29.05494099,0,6751.54,podocnemis_expansa,240707_0390
16,Spectrogram 1,1,29.25019098,29.4860375,0,6455.852,podocnemis_expansa,240707_0390
4,Spectrogram 1,1,35.49344105,35.83007896,0,8179.4,podocnemis_expansa,240707_0390
6,Spectrogram 1,1,66.16882202,66.42466683,0,6995.5,podocnemis_expansa,240707_0390
17,Spectrogram 1,1,66.83223201,67.1666701,0,7589.322,podocnemis_expansa,240707_0390
12,Spectrogram 1,1,274.7949071,274.9744474,0,2798.2,podocnemis_expansa,240707_0390
13,Spectrogram 1,1,281.4912248,281.8009316,0,7103.1,podocnemis_expansa,240707_0390
1,Spectrogram 1,1,37.18508059,37.43422802,0,6545.5,podocnemis_expansa,240707_0391
2,Spectrogram 1,1,51.74966235,52.06387376,0,8623.4,podocnemis_expansa,240707_0391
3,Spectrogram 1,1,52.39078058,52.88748851,0,10181.8,podocnemis_expansa,240707_0391
4,Spectrogram 1,1,160.8763267,161.0239108,0,4571.4,podocnemis_expansa,240707_0391
5,Spectrogram 1,1,172.0247149,172.2167329,0,7896.1,podocnemis_expansa,240707_0391
1,Spectrogram 1,1,131.9349729,132.1174695,0,8250,podocnemis_expansa,240707_0392
1,Spectrogram 1,1,158.6027536,158.8518657,0,8547.9,podocnemis_expansa,240707_0393
2,Spectrogram 1,1,159.8966143,160.3544418,0,10411,podocnemis_expansa,240707_0393
3,Spectrogram 1,1,160.7628958,160.9469245,0,11178.1,podocnemis_expansa,240707_0393
1,Spectrogram 1,1,129.1979861,129.3868303,0,7376.1,podocnemis_expansa,240707_0394
2,Spectrogram 1,1,134.7549949,135.0707933,0,6605.5,podocnemis_expansa,240707_0394
1,Spectrogram 1,1,74.28499114,74.54895988,0,7800,podocnemis_expansa,240707_0395
2,Spectrogram 1,1,118.8462649,119.0954123,0,7600,podocnemis_expansa,240707_0395
3,Spectrogram 1,1,119.3620159,119.7095528,0,12900,podocnemis_expansa,240707_0395
4,Spectrogram 1,1,119.7762037,120.0126557,0,12100,podocnemis_expansa,240707_0395
7,Spectrogram 1,1,120.9832688,121.250046,0,9533.101,podocnemis_expansa,240707_0395
5,Spectrogram 1,1,176.6131357,176.8321316,0,11500,podocnemis_expansa,240707_0395
6,Spectrogram 1,1,259.2910465,259.4767169,0,7800,podocnemis_expansa,240707_0395
1,Spectrogram 1,1,46.44498175,46.73380234,0,8680.9,podocnemis_expansa,240707_0396
1,Spectrogram 1,1,14.25401587,14.40886931,0,12845.1,podocnemis_expansa,240707_0397
2,Spectrogram 1,1,14.58840952,14.75672848,0,13070.4,podocnemis_expansa,240707_0397
1,Spectrogram 1,1,48.65068713,48.99630205,0,8519.5,podocnemis_expansa,240707_0399
2,Spectrogram 1,1,49.67855487,50.22390828,0,6961,podocnemis_expansa,240707_0399
3,Spectrogram 1,1,246.4138751,246.723582,0,8000,podocnemis_expansa,240707_0399
1,Spectrogram 1,1,23.75155269,24.23182277,0,8945.5,podocnemis_expansa,240707_0401
2,Spectrogram 1,1,25.44353157,25.74426143,0,9163.6,podocnemis_expansa,240707_0401
3,Spectrogram 1,1,29.99122232,30.22911311,0,11127.3,podocnemis_expansa,240707_0401
1,Spectrogram 1,1,189.8125016,190.1401625,0,3443,podocnemis_expansa,240707_0403
1,Spectrogram 1,1,84.74874584,85.39060212,0,5847.7,podocnemis_expansa,240707_0404
2,Spectrogram 1,1,92.80382133,93.42996784,0,7553.3,podocnemis_expansa,240707_0404
1,Spectrogram 1,1,154.6462517,154.9380045,0,7689.3,podocnemis_expansa,240707_0405
2,Spectrogram 1,1,291.092321,291.2673727,0,3378.6,podocnemis_expansa,240707_0405
3,Spectrogram 1,1,297.6843561,297.9267354,0,5009.7,podocnemis_expansa,240707_0405
1,Spectrogram 1,1,107.1466892,107.3464277,0,5359.2,podocnemis_expansa,240707_0406
2,Spectrogram 1,1,108.0556278,108.3608462,0,9553.4,podocnemis_expansa,240707_0406
6,Spectrogram 1,1,88.49147689,88.70243665,0,5101.4,podocnemis_expansa,240713_0722
2,Spectrogram 1,1,102.6394608,103.4172599,0,15554.007,podocnemis_expansa,240713_0723
1,Spectrogram 1,1,194.0856532,194.6332509,0,5911.3,podocnemis_expansa,240713_0723
1,Spectrogram 1,1,109.5415611,109.7031473,0,11798.3,podocnemis_expansa,240713_0730
1,Spectrogram 1,1,115.518444,115.8438606,0,19348,podocnemis_expansa,240714_0803
1,Spectrogram 1,1,197.8878258,198.0942971,0,3800,podocnemis_expansa,240714_0818
2,Spectrogram 1,1,226.7225378,226.8863682,0,2800,podocnemis_expansa,240714_0818
1,Spectrogram 1,1,192.2008402,192.2801,0,23035.2,podocnemis_expansa,240715_0885
1,Spectrogram 1,1,17.29550793,17.5526193,0,4529.3,podocnemis_expansa,240715_0886
2,Spectrogram 1,1,51.22318531,51.50156153,0,9891.5,podocnemis_expansa,240715_0886
3,Spectrogram 1,1,52.2690293,52.55900452,0,16190.9,podocnemis_expansa,240715_0886
4,Spectrogram 1,1,136.8097618,137.0726727,0,3696.3,podocnemis_expansa,240715_0886
1,Spectrogram 1,1,92.69661429,92.91119596,0,8654.9,podocnemis_expansa,240715_0888
1,Spectrogram 1,1,78.34554078,78.66258037,0,5538.5,podocnemis_expansa,240715_0890
1,Spectrogram 1,1,91.39914737,91.6465929,0,3692.3,podocnemis_expansa,240715_0898
1,Spectrogram 1,1,290.0862044,290.3027192,0,5541.7,podocnemis_expansa,240716_0971
2,Spectrogram 1,1,290.519234,290.8208083,0,17879.195,podocnemis_expansa,240716_0971
1,Spectrogram 1,1,175.4896471,175.7796224,0,8070.3,podocnemis_expansa,240716_0973
1,Spectrogram 1,1,35.98685334,36.53587311,0,10532.8,podocnemis_expansa,240716_0975
1,Spectrogram 1,1,88.08590319,88.41454178,0,18529,podocnemis_expansa,240716_0984
1,Spectrogram 1,1,9.909038477,10.06950255,0,7125,podocnemis_expansa,240807_6308
8,Spectrogram 1,1,109.4542683,109.869455,0,5755.656,podocnemis_expansa,240807_6308
7,Spectrogram 1,1,125.9131294,126.1442874,0,4669.683,podocnemis_expansa,240807_6308
6,Spectrogram 1,1,129.5125557,129.7167826,0,3800.905,podocnemis_expansa,240807_6308
2,Spectrogram 1,1,146.4363835,146.681007,0,7218.8,podocnemis_expansa,240807_6308
3,Spectrogram 1,1,264.4423708,264.6331323,0,3281.2,podocnemis_expansa,240807_6308
1,Spectrogram 1,1,82.0388705,82.32610416,0,21203.9,podocnemis_expansa,240807_6309
3,Spectrogram 1,1,144.1788441,144.7422471,0,6100.334,podocnemis_expansa,240807_6309
4,Spectrogram 1,1,180.2827113,180.4160131,0,6291.3,podocnemis_expansa,240807_6309
5,Spectrogram 1,1,214.8794783,214.9540639,0,5941.7,podocnemis_expansa,240807_6309
1,Spectrogram 1,1,121.3975574,121.578467,0,18486.5,podocnemis_expansa,240807_6312
2,Spectrogram 1,1,121.6874499,121.7652093,0,17081.1,podocnemis_expansa,240807_6312
3,Spectrogram 1,1,124.1779062,124.3937282,0,3135.1,podocnemis_expansa,240807_6312
4,Spectrogram 1,1,130.7558477,131.1398839,0,4108.1,podocnemis_expansa,240807_6312
12,Spectrogram 1,1,132.3381316,132.8071804,0,7374.302,podocnemis_expansa,240807_6312
13,Spectrogram 1,1,132.8139132,133.0338499,0,7374.302,podocnemis_expansa,240807_6312
11,Spectrogram 1,1,153.4253782,153.6318495,0,8178.771,podocnemis_expansa,240807_6312
10,Spectrogram 1,1,221.5038863,221.7305558,0,5229.05,podocnemis_expansa,240807_6312
8,Spectrogram 1,1,224.4044362,224.819623,0,14882.682,podocnemis_expansa,240807_6312
9,Spectrogram 1,1,226.053962,226.4399735,0,13005.587,podocnemis_expansa,240807_6312
5,Spectrogram 1,1,242.982926,243.3669622,0,5405.4,podocnemis_expansa,240807_6312
6,Spectrogram 1,1,277.732023,278.012909,0,20648.6,podocnemis_expansa,240807_6312
1,Spectrogram 1,1,32.70244481,32.86272436,0,21709.1,podocnemis_expansa,240807_6313
2,Spectrogram 1,1,35.36271125,35.54044699,0,17236.4,podocnemis_expansa,240807_6313
3,Spectrogram 1,1,35.86417996,36.06730653,0,17236.4,podocnemis_expansa,240807_6313
4,Spectrogram 1,1,41.32814229,41.65580319,0,5483.146,podocnemis_expansa,240807_6313
5,Spectrogram 1,1,140.5159046,140.8188787,0,5303.371,podocnemis_expansa,240807_6313
6,Spectrogram 1,1,140.9692437,141.2520195,0,6741.573,podocnemis_expansa,240807_6313
1,Spectrogram 1,1,0,0.345878904,0,7479.1,podocnemis_expansa,240807_6314
2,Spectrogram 1,1,0.348169493,0.620749556,0,5246.5,podocnemis_expansa,240807_6314
3,Spectrogram 1,1,1.170490861,1.349156785,0,7925.6,podocnemis_expansa,240807_6314
4,Spectrogram 1,1,1.479720345,1.811855716,0,8037.2,podocnemis_expansa,240807_6314
5,Spectrogram 1,1,43.43377012,43.62847017,0,3907,podocnemis_expansa,240807_6314
4,Spectrogram 1,1,87.65810509,87.99995261,0,8490.566,podocnemis_expansa,240807_6315
31,Spectrogram 1,1,142.1296031,142.6039646,56.604,6679.245,podocnemis_expansa,240807_6315
30,Spectrogram 1,1,154.8205197,155.0144893,169.811,9113.208,podocnemis_expansa,240807_6315
29,Spectrogram 1,1,166.2861738,166.6453057,0,11207.547,podocnemis_expansa,240807_6315
28,Spectrogram 1,1,175.8754312,176.042514,0,14603.774,podocnemis_expansa,240807_6315
26,Spectrogram 1,1,179.4514832,180.0545176,0,24000,podocnemis_expansa,240807_6315
27,Spectrogram 1,1,180.4021266,181.0032404,0,16245.283,podocnemis_expansa,240807_6315
24,Spectrogram 1,1,182.1632893,182.7279139,0,11886.792,podocnemis_expansa,240807_6315
25,Spectrogram 1,1,182.7740057,183.1600245,0,12396.226,podocnemis_expansa,240807_6315
22,Spectrogram 1,1,183.709321,183.9973947,0,12339.623,podocnemis_expansa,240807_6315
23,Spectrogram 1,1,184.1030218,184.4371873,0,12735.849,podocnemis_expansa,240807_6315
21,Spectrogram 1,1,200.4276352,200.6196844,0,7584.906,podocnemis_expansa,240807_6315
20,Spectrogram 1,1,200.645611,201.2227187,0,7132.075,podocnemis_expansa,240807_6315
19,Spectrogram 1,1,207.4395111,207.6949365,0,12735.849,podocnemis_expansa,240807_6315
18,Spectrogram 1,1,221.2059548,221.5362794,0,11830.189,podocnemis_expansa,240807_6315
16,Spectrogram 1,1,222.7039718,222.8345652,0,6283.019,podocnemis_expansa,240807_6315
17,Spectrogram 1,1,223.0592627,223.216743,0,7584.906,podocnemis_expansa,240807_6315
15,Spectrogram 1,1,230.9795994,231.2638322,113.208,24000,podocnemis_expansa,240807_6315
14,Spectrogram 1,1,241.9708516,242.2704483,0,5943.396,podocnemis_expansa,240807_6315
13,Spectrogram 1,1,255.9427788,256.1559534,0,11830.189,podocnemis_expansa,240807_6315
10,Spectrogram 1,1,257.1738566,257.4888172,0,6283.019,podocnemis_expansa,240807_6315
11,Spectrogram 1,1,258.5162803,258.6411122,0,21735.849,podocnemis_expansa,240807_6315
12,Spectrogram 1,1,259.0713024,259.1654065,0,13754.717,podocnemis_expansa,240807_6315
8,Spectrogram 1,1,263.972552,264.3681733,0,13245.283,podocnemis_expansa,240807_6315
9,Spectrogram 1,1,265.0633901,265.3975557,0,8716.981,podocnemis_expansa,240807_6315
7,Spectrogram 1,1,287.0363449,287.2533605,0,6679.245,podocnemis_expansa,240807_6315
6,Spectrogram 1,1,292.7134396,292.8651585,0,10981.132,podocnemis_expansa,240807_6315
1,Spectrogram 1,1,76.25916251,76.71302343,0,6304.1,podocnemis_expansa,240807_6316
2,Spectrogram 1,1,91.51142222,91.75898273,0,6746.5,podocnemis_expansa,240807_6316
3,Spectrogram 1,1,116.7361954,116.9263241,47.431,24000,podocnemis_expansa,240807_6316
1,Spectrogram 1,1,229.1351285,229.3033427,0,8825.1,podocnemis_expansa,240807_6317
1,Spectrogram 1,1,43.0182124,43.4942903,0,10075.5,podocnemis_expansa,240807_6318
2,Spectrogram 1,1,44.20789815,44.33643918,0,6226.4,podocnemis_expansa,240807_6318
3,Spectrogram 1,1,47.84361529,48.1578267,0,5886.8,podocnemis_expansa,240807_6318
5,Spectrogram 1,1,59.99759976,60.23246486,0,6679.2,podocnemis_expansa,240807_6318
6,Spectrogram 1,1,64.47547477,64.7484261,0,7018.9,podocnemis_expansa,240807_6318
12,Spectrogram 1,1,65.16313154,65.47425119,0,10144.928,podocnemis_expansa,240807_6318
7,Spectrogram 1,1,66.30100298,66.61045361,0,6226.4,podocnemis_expansa,240807_6318
8,Spectrogram 1,1,94.95248369,95.07943779,0,8264.2,podocnemis_expansa,240807_6318
11,Spectrogram 1,1,107.6772466,107.9962188,0,5207.5,podocnemis_expansa,240807_6318
1,Spectrogram 1,1,93.92078357,94.41003066,0,6887,podocnemis_expansa,240807_6319
2,Spectrogram 1,1,94.95313982,95.514203,0,6887,podocnemis_expansa,240807_6319
3,Spectrogram 1,1,99.8796206,100.5753389,0,4695.7,podocnemis_expansa,240807_6319
1,Spectrogram 1,1,141.9444423,142.3253046,0,8603.8,podocnemis_expansa,240807_6320
2,Spectrogram 1,1,151.6264724,151.9311623,0,6679.2,podocnemis_expansa,240807_6320
3,Spectrogram 1,1,181.8866052,182.150035,0,6339.6,podocnemis_expansa,240807_6320
4,Spectrogram 1,1,182.4674202,182.9085857,0,5773.6,podocnemis_expansa,240807_6320
5,Spectrogram 1,1,183.0291921,183.2386664,0,10641.5,podocnemis_expansa,240807_6320
6,Spectrogram 1,1,183.4671838,183.7528305,0,7698.1,podocnemis_expansa,240807_6320
7,Spectrogram 1,1,183.7623521,183.9242186,0,7132.1,podocnemis_expansa,240807_6320
8,Spectrogram 1,1,207.8026623,208.0883091,0,10415.1,podocnemis_expansa,240807_6320
1,Spectrogram 1,1,2.848587335,3.311969819,0,8526.3,podocnemis_expansa,240807_6321
2,Spectrogram 1,1,3.769004598,4.067346745,0,8421.1,podocnemis_expansa,240807_6321
3,Spectrogram 1,1,206.248007,206.5907831,0,6000,podocnemis_expansa,240807_6321
4,Spectrogram 1,1,230.348106,230.7860977,0,6210.5,podocnemis_expansa,240807_6321
1,Spectrogram 1,1,46.46136991,47.02314183,0,5818.2,podocnemis_expansa,240807_6322
2,Spectrogram 1,1,47.4135257,47.94990679,0,5212.1,podocnemis_expansa,240807_6322
3,Spectrogram 1,1,64.35431324,65.06208238,0,7515.2,podocnemis_expansa,240807_6322
4,Spectrogram 1,1,79.54839647,79.96417116,0,6424.2,podocnemis_expansa,240807_6322
5,Spectrogram 1,1,80.58624628,80.93219621,0,7878.8,podocnemis_expansa,240807_6322
6,Spectrogram 1,1,126.641401,126.9778293,0,6545.5,podocnemis_expansa,240807_6322
7,Spectrogram 1,1,188.8470156,189.1548793,0,6545.5,podocnemis_expansa,240807_6322
8,Spectrogram 1,1,235.3603292,235.6364543,0,4969.7,podocnemis_expansa,240807_6322
1,Spectrogram 1,1,0,0.222181019,0,13101.4,podocnemis_expansa,240807_6323
1,Spectrogram 1,1,3.745304226,4.032568574,0,12637.2,podocnemis_expansa,240807_6324
2,Spectrogram 1,1,4.400626019,4.723798411,0,7752.2,podocnemis_expansa,240807_6324
3,Spectrogram 1,1,5.377355148,5.691550529,0,7115,podocnemis_expansa,240807_6324
4,Spectrogram 1,1,28.4553252,29.14206653,0,7539.8,podocnemis_expansa,240807_6324
5,Spectrogram 1,1,29.25427916,29.59540558,0,5734.5,podocnemis_expansa,240807_6324
6,Spectrogram 1,1,29.945509,30.23277335,0,7858.4,podocnemis_expansa,240807_6324
7,Spectrogram 1,1,55.74381607,56.00414939,0,6265.5,podocnemis_expansa,240807_6324
8,Spectrogram 1,1,56.2218419,56.48890797,0,6796.5,podocnemis_expansa,240807_6324
9,Spectrogram 1,1,168.1426193,168.3603118,0,7646,podocnemis_expansa,240807_6324
1,Spectrogram 1,1,40.15689159,40.41498065,0,6624.4,podocnemis_expansa,240807_6325
1,Spectrogram 1,1,91.86880131,93.02907997,0,10606.7,podocnemis_expansa,240807_6326
1,Spectrogram 1,1,21.3812345,21.6752316,0,7288,podocnemis_expansa,240807_6338
2,Spectrogram 1,1,47.12185424,47.7120927,0,7413.6,podocnemis_expansa,240807_6338
3,Spectrogram 1,1,48.65630311,49.06251285,0,7036.6,podocnemis_expansa,240807_6338
4,Spectrogram 1,1,49.46198983,49.87717659,0,6911,podocnemis_expansa,240807_6338
5,Spectrogram 1,1,92.68820195,92.95975653,0,6282.7,podocnemis_expansa,240807_6338
6,Spectrogram 1,1,286.279927,286.6636942,0,6408.4,podocnemis_expansa,240807_6338
1,Spectrogram 1,1,241.1653399,241.3762997,0,7584.9,podocnemis_expansa,240807_6339
2,Spectrogram 1,1,242.1909634,242.5298456,0,7018.9,podocnemis_expansa,240807_6339
3,Spectrogram 1,1,243.3360291,243.5582101,0,6339.6,podocnemis_expansa,240807_6339
4,Spectrogram 1,1,294.2559655,294.5162988,0,6226.4,podocnemis_expansa,240807_6339
1,Spectrogram 1,1,0.870770054,1.158034402,0,6171.4,podocnemis_expansa,240807_6340
2,Spectrogram 1,1,1.62708322,1.820088954,0,7200,podocnemis_expansa,240807_6340
3,Spectrogram 1,1,150.38077,150.6186608,0,5600,podocnemis_expansa,240807_6340
4,Spectrogram 1,1,151.8507555,152.1021118,0,6400,podocnemis_expansa,240807_6340
5,Spectrogram 1,1,263.6191587,263.9535524,0,8914.3,podocnemis_expansa,240807_6340
6,Spectrogram 1,1,264.3283426,264.5774546,0,7085.7,podocnemis_expansa,240807_6340
1,Spectrogram 1,1,280.3289038,281.1009267,92.7,6764.5,podocnemis_expansa,240808_6387
1,Spectrogram 1,1,139.9295145,140.2310888,0,4050.6,podocnemis_expansa,240808_6388
1,Spectrogram 1,1,16.25205235,16.4801662,0,5222.5,podocnemis_expansa,240808_6394
2,Spectrogram 1,1,135.2359264,135.473706,0,5105.1,podocnemis_expansa,240808_6394
